i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,1,4
1,5,0,4
1,6,0,5
1,7,0,6
1,8,0,7
2,1,10,8
2,2,10,9
2,3,10,9
2,4,0,10
2,5,1,11
2,6,1,11
2,7,0,11
2,8,1,8
3,1,10,8
3,2,1,9
3,3,0,9
3,4,0,12
3,5,10,13
3,6,0,14
3,7,0,15
3,8,1,8
4,1,11,8
4,2,0,8
4,3,0,16
4,4,1,13
4,5,1,13
4,6,1,13
4,7,0,13
4,8,10,8
5,1,0,8
5,2,1,17
5,3,10,17
5,4,0,18
5,5,0,19
5,6,1,20
5,7,0,20
5,8,1,8
6,1,0,21
6,2,0,22
6,3,10,17
6,4,0,23
6,5,0,24
6,6,0,25
6,7,0,26
6,8,0,27
7,1,10,28
7,2,0,29
7,3,1,17
7,4,10,17
7,5,10,17
7,6,0,30
7,7,0,31
7,8,0,32
8,1,0,28
8,2,1,33
8,3,0,33
8,4,1,17
8,5,0,17
8,6,0,34
8,7,1,28
8,8,1,28
