n,charge
1,-1.0000000000000002
2,.0000000000000001
3,-3.0000000000000004
4,-2.0000000000000004
5,.9999999999999997
6,.0000000000000009
7,1.0000000000000000
8,-1.0000000000000002
9,-.9999999999999997
10,-.0000000000000009
11,-4.0000000000000000
12,-2.0000000000000018
13,.9999999999999999
14,.0000000000000001
15,1.9999999999999987
16,1.9999999999999989
17,3.0000000000000000
18,-.0000000000000000
19,-.0000000000000004
20,-2.0000000000000000
21,1.0000000000000002
22,.0000000000000001
23,1.0000000000000002
24,-1.0000000000000007
25,2.9999999999999978
26,2.0000000000000022
27,-1.0000000000000007
28,-.9999999999999996
29,-2.0000000000000000
30,-.0000000000000001
