i,j,x,y,z
1,1,-.2147404881805633,-.6180615869539744,-.7562317088484906
1,2,.2487607884354859,-.9679747149655812,-.0338085983775932
1,3,-.8088084330215262,.5625032308593181,.1715197771281556
1,4,.6728165796802043,.6520351239013930,-.3495254601689646
1,5,.0362090487359013,.6452429636401547,-.7631188784603034
1,6,.7212751319415115,.6757556324069948,.1520411434874712
1,7,.3586122652298258,-.9024541735798421,.2386916584530285
1,8,-.3828548281814586,-.4658435093043735,-.7977543515250368
2,1,-.8195996740767622,.2454177310970322,-.5177127693194846
2,2,-.8768979878023150,-.4333057776513638,-.2080769618247007
2,3,.5459652691954443,.4272751784008926,-.7206648643820729
2,4,-.4838606918096101,.7911367074203238,-.3741410711130955
2,5,.0370555794467232,-.9989704652913401,.0261704701423397
2,6,.1722392792061976,-.8599188325234833,.4804926973118103
2,7,-.8739465825645315,-.3524510629964944,-.3346574652034788
2,8,-.6227447404157994,.2083689095847157,-.7541693349659181
3,1,.1890387261363549,.9428156318974884,.2745233036929357
3,2,.5893237699788973,-.5762408576066510,-.5662543316943466
3,3,-.7638151224608335,-.6163545047027429,.1915556922484382
3,4,.2284062912223526,.3813596029623365,-.8957652702345961
3,5,-.1425265913349014,.9722779954319589,-.1853690113294714
3,6,-.0177681044993727,-.3170500761175934,.9482423443910990
3,7,.1010785324875423,-.8544301370528602,.5096393540200711
3,8,.7349673138744075,-.2920230989282896,.6120012722442303
4,1,-.7962519251254654,.5736698800080929,.1920566075548836
4,2,-.6240217076450441,.7573194092090287,.1925207023232847
4,3,-.1716646940987770,.6760085287738987,.7166196353889016
4,4,.0503317880199623,.9875521893332391,-.1490214228151107
4,5,.9410017954277420,.1909574950757157,-.2793758330209935
4,6,-.7670774239313842,.4804139501658148,-.4251995557157480
4,7,-.5625377637562335,.0861554702087382,-.8222703322516550
4,8,-.9184574928724598,-.3891000698341406,.0709716101092715
5,1,-.5978094536718744,-.2660351038161328,.7562071016845018
5,2,-.1422676481850964,-.3182972467853294,.9372549167482456
5,3,-.9979043853601269,.0098002886487782,.0639592997259023
5,4,-.5927726814704994,-.7550491618332370,-.2802165436179674
5,5,.3730645390299457,.9209503653282929,-.1125756382174132
5,6,-.7083349695117553,.4552182069231167,-.5394793370023390
5,7,.9409570867086775,.3371451154326497,-.0305439374119274
5,8,.8952414178752485,-.2365342930541681,.3776166467862343
6,1,.3271951030752069,-.9107457370661329,-.2519634238128049
6,2,.3937504825337196,.7212474764061744,.5698794918947232
6,3,.2897734536421960,.7624384971707091,.5785489465864966
6,4,.0522163093312602,.8893551127341006,.4542256493126927
6,5,.2883234271512083,.9024421399035795,-.3201058972934274
6,6,.3598704929634343,.4358998883161897,.8249148535819852
6,7,-.6231392742750821,.7779363877176695,.0806995757157850
6,8,.0091352056741532,-.9428422605452391,.3331141242085576
7,1,-.6625602466147582,.7484024583683653,.0301277266646195
7,2,-.8832558911290264,-.4413370628638786,.1583686450297354
7,3,.3859124121678958,.1079516068944843,.9161976100730971
7,4,-.7660195269139251,-.6314056365495813,.1205860958816755
7,5,-.9629271484155917,-.1587893402278412,-.2180762533478231
7,6,-.3416152341242984,.6515812146544313,-.6773041802053613
7,7,-.4669948046485732,.7863059807379397,.4045228758512774
7,8,.1532606749425792,-.7428685089386851,.6516575357834511
8,1,-.2469479512548165,.6880106138053222,.6823914599863281
8,2,-.2936425087880000,.8872973916535519,-.3556366344986026
8,3,.0119399456632626,.7618573882771608,.6476347409034369
8,4,.9811730283678668,-.0152834812127160,.1925250726670424
8,5,-.1370264176169166,-.9074215751465485,-.3972528739148796
8,6,.0064070357434016,.9838404338141750,.1789328105332246
8,7,-.4884494307104137,-.7677016436006164,.4147907183768521
8,8,-.3439679784178461,-.5683879038717191,.7474096738439058
