tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0504781249999997,.0007150449244164,.4799474151621164,.0000158161207590
1,3.6111111111111112,.0502539306640624,.0006993820326239,.4774526438634297,.0000173039868461
2,3.2222222222222223,.0490052246093749,.0006947975166999,.4729562595768894,.0000192052609077
3,2.8333333333333330,.0476831054687500,.0006762169217740,.4664325016179707,.0000220617179907
4,2.4444444444444446,.0447161132812499,.0006350092929207,.4571513804305238,.0000245174667656
5,2.0555555555555554,.0430111572265625,.0006158771289256,.4435647603497193,.0000283900754366
6,1.6666666666666665,.0389463623046875,.0005445879614149,.4232941701226438,.0000336664749002
7,1.2777777777777777,.0333546630859375,.0004713522843800,.3921169039522386,.0000395356771905
8,.8888888888888888,.0275830566406250,.0003879463979292,.3443739768719616,.0000465211552703
9,.5000000000000000,.0203634765625000,.0002872114022724,.2765294904149692,.0000523741262248
