tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0518861328124999,.0007364702726532,.8449500695923371,.0000292777034090
1,3.7083333333333335,.0510293701171875,.0007212153311769,.8347130542949033,.0000308655036202
2,3.4166666666666665,.0491418457031250,.0007084391753431,.8214220166783096,.0000332789756199
3,3.1250000000000000,.0492319335937500,.0006951921808149,.8056000606744693,.0000357234432539
4,2.8333333333333330,.0474470703125000,.0006707198485753,.7867648600594822,.0000387175119699
5,2.5416666666666670,.0469321289062500,.0006629340446825,.7641211509230329,.0000420890168797
6,2.2500000000000000,.0439967285156250,.0006143072010636,.7363805826048158,.0000460849092051
7,1.9583333333333335,.0416514160156250,.0005854936328366,.7021027927546702,.0000505742368062
8,1.6666666666666665,.0369916503906250,.0005197204071406,.6588174578288973,.0000557711841084
9,1.3750000000000000,.0336645507812500,.0004723899745383,.6037128077121902,.0000609631430847
10,1.0833333333333335,.0279199462890625,.0003937386238750,.5331656850784857,.0000655706581891
11,.7916666666666665,.0230020263671875,.0003240693547713,.4448242130361203,.0000695199052834
12,.5000000000000000,.0172547363281250,.0002459349151495,.3408036549492795,.0000680900793139
