tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0526140136718759,.0007458974600961,.8450727909166413,.0000295005113296
1,3.7083333333333335,.0504261962890628,.0007107754172102,.8345133256238114,.0000319299673343
2,3.4166666666666665,.0497070312500000,.0007008944189642,.8213614002026663,.0000339881842911
3,3.1250000000000000,.0492070556640625,.0007012026834523,.8056429698061197,.0000363416656408
4,2.8333333333333330,.0473474853515625,.0006525725538243,.7869143961091443,.0000397116021149
5,2.5416666666666670,.0461332763671875,.0006742408208772,.7644077292450445,.0000436643463639
6,2.2500000000000000,.0448123046875000,.0006347544861802,.7368491498318531,.0000473953454483
7,1.9583333333333335,.0418045410156250,.0005873709195487,.7026370636682021,.0000517170790054
8,1.6666666666666665,.0389061279296875,.0005521254115650,.6595163534147780,.0000571176939182
9,1.3750000000000000,.0354474609375000,.0005033839803034,.6046644821479598,.0000623506138743
10,1.0833333333333335,.0300608398437500,.0004216489008795,.5344790791504094,.0000678617552019
11,.7916666666666665,.0241982177734375,.0003469645511939,.4459315539798795,.0000704753665169
12,.5000000000000000,.0194933105468750,.0002817563599576,.3412209446159699,.0000702113027159
