tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0503809814453119,.0007199315459887,.4799956526351805,.0000158653714527
1,3.7333333333333334,.0511229736328121,.0007293653997653,.4783085463985373,.0000169745797830
2,3.4666666666666668,.0494065429687499,.0007132814181389,.4755290047975763,.0000179915273464
3,3.2000000000000002,.0498581542968749,.0007052111620340,.4718460745077175,.0000195333628714
4,2.9333333333333336,.0476609130859375,.0006629967804809,.4671940205420172,.0000211330180774
5,2.6666666666666670,.0463392578125000,.0006603239234268,.4613228007099895,.0000230751760046
6,2.3999999999999999,.0433175781250000,.0006255930460332,.4538444374043101,.0000252587017427
7,2.1333333333333333,.0434213134765625,.0006118368410043,.4439777391190594,.0000279626324833
8,1.8666666666666667,.0413381835937500,.0005812193239020,.4310186621257063,.0000310816713657
9,1.6000000000000001,.0370283935546875,.0005174686323195,.4135380441118605,.0000345431462302
10,1.3333333333333335,.0337939453125000,.0004741828687868,.3898071844146430,.0000391999098960
11,1.0666666666666669,.0292028320312500,.0004123030282096,.3574841189414381,.0000433081711251
12,.7999999999999998,.0236163330078125,.0003408986948050,.3144809973884538,.0000475572465384
13,.5333333333333332,.0187706542968750,.0002678678840095,.2610213902794759,.0000505731081504
14,.2666666666666666,.0139432373046875,.0001971931196146,.2034595430396434,.0000527424079661
15,.0000000000000000,.0113776123046875,.0001624435871309,.1575861328125000,.0000574133088189
