tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0518039062500000,.0007401551064185,.8448512163333071,.0000292333118239
1,3.7333333333333334,.0512887695312500,.0007237535532703,.8356263032273975,.0000311668973651
2,3.4666666666666668,.0494335693359375,.0006846094353120,.8236832221394061,.0000325715197606
3,3.2000000000000002,.0499009033203125,.0007135043973355,.8096044559395799,.0000351313019754
4,2.9333333333333336,.0476735839843750,.0006632616295157,.7932760677105413,.0000378671560016
5,2.6666666666666670,.0471103271484375,.0006771108048507,.7738533466415285,.0000409026917657
6,2.3999999999999999,.0448943847656250,.0006383070809162,.7508609251958444,.0000443369561279
7,2.1333333333333333,.0413186523437500,.0005796883720067,.7228155075117656,.0000476029609229
8,1.8666666666666667,.0403106445312500,.0005502713221414,.6884719905236437,.0000526436017883
9,1.6000000000000001,.0370764160156250,.0005267133843397,.6458636607599072,.0000578893521858
10,1.3333333333333335,.0330140380859375,.0004761441484280,.5921902803359689,.0000617546410637
11,1.0666666666666669,.0277923828125000,.0003994132634575,.5251962633546853,.0000660416915388
12,.7999999999999998,.0223222167968750,.0003114498724186,.4426715462379157,.0000687276882283
13,.5333333333333332,.0167665283203125,.0002379165258433,.3468969641776921,.0000685131072388
14,.2666666666666666,.0127292724609375,.0001784966037675,.2460071211326166,.0000638063016131
15,.0000000000000000,.0101557861328125,.0001419325534291,.1516416503906250,.0000563832352988
