tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0507703613281280,.0007276192073534,1.1422812186468116,.0000748963867426
1,3.7333333333333334,.0514967285156270,.0007211649687404,1.1527623355540144,.0000782462658104
2,3.4666666666666668,.0496588134765644,.0007067250748950,1.1651390265826995,.0000819743446818
3,3.2000000000000002,.0493541259765648,.0006857805896844,1.1799150500963713,.0000881216633339
4,2.9333333333333336,.0484650146484399,.0006971644198577,1.1981268038741557,.0000952915296297
5,2.6666666666666670,.0486639892578155,.0006865299733846,1.2202490474184533,.0001045778783786
6,2.3999999999999999,.0456569091796895,.0006482757587380,1.2479358618101106,.0001154351875455
7,2.1333333333333333,.0451711425781268,.0006424986086574,1.2834887419139569,.0001333978837550
8,1.8666666666666667,.0438899414062522,.0006191144164561,1.3305425650755953,.0001568387448414
9,1.6000000000000001,.0411521484375018,.0005784945255012,1.3955241786770427,.0001929670097858
10,1.3333333333333335,.0387322509765641,.0005555973190387,1.4908162301799752,.0002537484044288
11,1.0666666666666669,.0342752929687517,.0004875035745426,1.6392727483073166,.0003677278145724
12,.7999999999999998,.0291548095703139,.0004216177363347,1.8970115207997504,.0006091127691467
13,.5333333333333332,.0220792724609386,.0003206015835734,2.4151940077041116,.0012288772308773
14,.2666666666666666,.0144302490234382,.0002036400725944,3.7701255421561117,.0032695617629911
15,.0000000000000000,.0076142333984378,.0001127834511331,15.1376544516551572,.0199615182430635
