tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0510923339843740,.0007201927043213,.4799876291678560,.0000159998378537
1,3.6666666666666665,.0506454589843744,.0007031592519669,.4776189074921312,.0000172980600069
2,3.3333333333333335,.0502232421874999,.0007000282585547,.4739762962722691,.0000190681641992
3,3.0000000000000000,.0485080322265625,.0006747796787272,.4689557222871125,.0000207921834781
4,2.6666666666666670,.0468564941406249,.0006627764045397,.4620569376241948,.0000231110926117
5,2.3333333333333330,.0448513183593749,.0006506123336814,.4526723790784313,.0000263412667365
6,2.0000000000000000,.0426602539062500,.0005868922057215,.4395342583125246,.0000297527677945
7,1.6666666666666665,.0394709228515625,.0005525963959105,.4209134671562156,.0000340782363067
8,1.3333333333333335,.0353908203125000,.0004997398128840,.3937047780619584,.0000394624515169
9,1.0000000000000000,.0306034423828125,.0004345233768293,.3538783043813964,.0000453190035187
10,.6666666666666665,.0247566406250000,.0003492950216866,.2980803906155382,.0000514249618936
11,.3333333333333335,.0186372802734375,.0002605527499143,.2298300578542385,.0000551658885414
12,.0000000000000000,.0143403076171875,.0001993041664069,.1728760009765625,.0000602596534622
