tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0508554931640557,.0007311123656056,1.1422448556421649,.0000746174512375
1,3.7222222222222223,.0502780761718686,.0007152264265700,1.1531175309387642,.0000774221978592
2,3.4444444444444446,.0511470458984309,.0007276647073264,1.1663826183106338,.0000828596982092
3,3.1666666666666665,.0497895751953059,.0007018476461479,1.1820516209433836,.0000882662720290
4,2.8888888888888888,.0496067871093687,.0007056629708345,1.2013485806279889,.0000974695149200
5,2.6111111111111112,.0478496337890561,.0006770325129814,1.2250596901556317,.0001067330543983
6,2.3333333333333330,.0464551757812434,.0006559274644675,1.2555593466940203,.0001217045834605
7,2.0555555555555554,.0460879882812437,.0006350801650086,1.2951457465821448,.0001381279523605
8,1.7777777777777777,.0441133056640570,.0006305839586731,1.3493324517767937,.0001650760699645
9,1.5000000000000000,.0413723388671827,.0005872019761318,1.4257968577678934,.0002112628380828
