tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0515154785156258,.0007384981871932,.4800049880120679,.0000158177786540
1,3.8333333333333335,.0515804443359377,.0007307466950223,.4788935491133642,.0000167311567261
2,3.6666666666666665,.0512425292968751,.0007169573808399,.4772957612807393,.0000173601168744
3,3.5000000000000000,.0508495605468749,.0007142645435622,.4753829200975702,.0000182337011647
4,3.3333333333333335,.0497279785156252,.0006979034359436,.4730825621321678,.0000191519392241
5,3.1666666666666665,.0497220458984376,.0007141511553109,.4704574958177541,.0000201506703902
6,3.0000000000000000,.0484894287109375,.0006762742726131,.4674446858247667,.0000209659861320
7,2.8333333333333330,.0468603027343749,.0006538142221948,.4639901006064185,.0000223374914549
8,2.6666666666666670,.0455702148437500,.0006419380511870,.4598699762808123,.0000234594209892
9,2.5000000000000000,.0462713867187500,.0006601382915896,.4550768350382566,.0000248999296515
10,2.3333333333333330,.0444885498046875,.0006201300801933,.4495181381531979,.0000260761692236
11,2.1666666666666670,.0437059570312500,.0006232489955608,.4428096971513282,.0000280161013009
12,2.0000000000000000,.0415772705078125,.0005917510458231,.4347804424756727,.0000302538543443
13,1.8333333333333335,.0399671386718750,.0005611496482758,.4251694135802438,.0000326123431079
14,1.6666666666666665,.0383606933593750,.0005459072265563,.4134719569179236,.0000350047826041
15,1.5000000000000000,.0353402099609375,.0005020479204520,.3992488984188033,.0000381888694600
