tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0504580566406248,.0007119703723411,.8455782382017042,.0000286900902326
1,3.6000000000000001,.0499285400390624,.0007208715653437,.8306354506803777,.0000318473090306
2,3.2000000000000002,.0492867919921875,.0007015576838215,.8108919236214225,.0000351827630227
3,2.7999999999999998,.0486529541015625,.0006878200693465,.7859469460337768,.0000392634544748
4,2.3999999999999999,.0451825195312500,.0006537871141412,.7538104201683785,.0000436885985413
5,2.0000000000000000,.0410545410156250,.0005705900264262,.7112679663431299,.0000497910920873
6,1.6000000000000001,.0380744384765625,.0005402371046664,.6535787603880875,.0000559118477950
7,1.2000000000000002,.0317906250000000,.0004501680004653,.5740077183701829,.0000636513525819
8,.7999999999999998,.0244043457031250,.0003386074212277,.4651310055763784,.0000690903951657
9,.3999999999999999,.0175895996093750,.0002448883146258,.3280537504949921,.0000684489037081
10,.0000000000000000,.0129241943359375,.0001846273745085,.1831507812500000,.0000608278132818
