tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2972300000000003,0.0192271685671897,1.4073700000000000,0.0045494822660266
1,3.7999999999999998,3.2468699999999999,0.0106088856886837,1.3966500000000002,0.0027849296819368
2,3.6000000000000001,3.1989200000000007,0.0099241993799670,1.3843600000000000,0.0020834906607262
3,3.3999999999999999,3.1587299999999998,0.0128999745908451,1.3762299999999998,0.0028907534581065
4,3.2000000000000002,3.0974399999999997,0.0121963127396952,1.3598600000000003,0.0023220776137858
5,3.0000000000000000,3.0668400000000009,0.0065852562592506,1.3559800000000000,0.0019146104912837
6,2.7999999999999998,2.9853499999999995,0.0096986625653000,1.3335100000000000,0.0028094068175803
7,2.6000000000000001,2.9302400000000004,0.0132395719971104,1.3220199999999998,0.0036579532832201
8,2.3999999999999999,2.8286099999999998,0.0130784084148901,1.2972499999999998,0.0039087437595446
9,2.2000000000000002,2.7156000000000002,0.0078017804235813,1.2681199999999999,0.0030758485730683
10,2.0000000000000000,2.5971500000000001,0.0111872869315527,1.2390099999999999,0.0023945516861780
11,1.7999999999999998,2.4608999999999996,0.0108356920509130,1.2026799999999997,0.0021577148405973
12,1.6000000000000001,2.3037900000000002,0.0079353981906671,1.1598900000000001,0.0020391419764205
13,1.3999999999999999,2.1163999999999996,0.0051379416544413,1.1064599999999998,0.0019882543991038
14,1.2000000000000002,1.8807300000000002,0.0077774181662898,1.0366100000000000,0.0031918455128308
15,1.0000000000000000,1.6298200000000000,0.0072681925003554,0.9517000000000000,0.0028027367577661
16,0.7999999999999998,1.3435999999999999,0.0074126618400919,0.8510199999999999,0.0025217189904243
17,0.6000000000000001,1.0624800000000001,0.0045034258564391,0.7350999999999999,0.0022340794773488
18,0.3999999999999999,0.8102899999999998,0.0024834765059400,0.6131099999999999,0.0014301864680290
19,0.2000000000000002,0.6338700000000002,0.0031821044748545,0.5143500000000001,0.0015517194763659
20,0.0000000000000000,0.5268700000000001,0.0030027783430979,0.4451500000000000,0.0019902121606613
