  TQ                     Temp                   charge                    error                chargeAbs                    error
   0       4.0000000000000000       3.2807699999999995       0.0167530431729748       1.4046700000000001       0.0030914955028991
   1       3.8999999999999999       3.2675500000000000       0.0183071464491633       1.4011499999999999       0.0043382600198698
   2       3.7999999999999998       3.2263999999999995       0.0119388720851959       1.3922000000000001       0.0031444837060760
   3       3.7000000000000002       3.2177600000000006       0.0124812588396454       1.3883600000000000       0.0031204771714880
   4       3.6000000000000001       3.2016399999999998       0.0152259223402429       1.3864399999999999       0.0045778015101865
   5       3.5000000000000000       3.1913900000000002       0.0120105550801507       1.3850099999999999       0.0039558241169753
   6       3.3999999999999999       3.1558100000000002       0.0132924911969960       1.3764900000000000       0.0031079271405731
   7       3.2999999999999998       3.1557199999999996       0.0137275942700986       1.3765400000000001       0.0034255964606346
   8       3.2000000000000002       3.0881400000000001       0.0156277189634316       1.3603199999999998       0.0034129101300146
   9       3.1000000000000001       3.0978100000000000       0.0107967839861895       1.3573700000000002       0.0031221449179832
  10       3.0000000000000000       3.0536199999999996       0.0147525500620514       1.3515599999999999       0.0039558451829049
  11       2.8999999999999999       3.0082700000000000       0.0165705230253406       1.3425100000000003       0.0041038856925819
  12       2.7999999999999998       2.9875300000000005       0.0155640329677828       1.3344300000000002       0.0042920611469187
  13       2.7000000000000002       2.9357499999999996       0.0160961020125993       1.3230900000000001       0.0035185682062770
  14       2.6000000000000001       2.8880999999999997       0.0173280889502180       1.3109199999999999       0.0043838035235778
  15       2.5000000000000000       2.8618299999999999       0.0170709372911975       1.3067900000000001       0.0047075931571594
  16       2.3999999999999999       2.8278699999999999       0.0088953677083450       1.2956700000000001       0.0026645846038568
  17       2.2999999999999998       2.7881699999999996       0.0140354792500214       1.2895500000000000       0.0031323846081434
  18       2.2000000000000002       2.7138200000000001       0.0108181822256174       1.2683800000000001       0.0032991850845658
  19       2.1000000000000001       2.6351499999999994       0.0110550566609938       1.2484500000000001       0.0030013422923010
  20       2.0000000000000000       2.6110600000000002       0.0222184117844234       1.2425800000000000       0.0064090872985161
  21       1.8999999999999999       2.5231699999999999       0.0064866024320217       1.2187299999999999       0.0016792888706565
  22       1.7999999999999998       2.4362800000000000       0.0108475066259485       1.1950800000000004       0.0026970683672792
  23       1.7000000000000002       2.3518800000000004       0.0131003799775258       1.1731600000000000       0.0038608059032049
  24       1.6000000000000001       2.2399200000000001       0.0080830659749600       1.1427400000000001       0.0029777396349133
  25       1.5000000000000000       2.1645999999999996       0.0095835391282249       1.1214999999999999       0.0028057876691662
  26       1.3999999999999999       2.0464500000000001       0.0105043192174563       1.0856699999999999       0.0034272778313603
  27       1.2999999999999998       1.9011600000000002       0.0087090910356171       1.0414399999999999       0.0028621359545317
  28       1.2000000000000002       1.7758800000000001       0.0046594658730613       1.0020600000000002       0.0019629456323484
  29       1.1000000000000001       1.6301600000000001       0.0101003872313007       0.9525399999999999       0.0031386196541368
  30       1.0000000000000000       1.4635799999999999       0.0056496764902465       0.8937400000000000       0.0017690675509998
  31       0.8999999999999999       1.3152300000000001       0.0070133056083102       0.8359900000000000       0.0029185784210810
  32       0.7999999999999998       1.1449800000000003       0.0044049164451654       0.7676200000000001       0.0021862601248098
  33       0.7000000000000002       0.9736500000000001       0.0032449704672513       0.6879099999999999       0.0019105234884712
  34       0.6000000000000001       0.8065200000000001       0.0050547183678004       0.6065600000000000       0.0024245136969436
  35       0.5000000000000000       0.6661299999999999       0.0036646676368927       0.5275700000000000       0.0016729249169576
  36       0.3999999999999999       0.5390599999999999       0.0023934726050471       0.4492200000000000       0.0013257115489846
  37       0.2999999999999998       0.4477800000000000       0.0028319133696731       0.3872400000000000       0.0017779013845918
  38       0.2000000000000002       0.3842600000000000       0.0022598525025614       0.3395600000000000       0.0018088793338541
  39       0.1000000000000001       0.3345300000000001       0.0013951543124528       0.3018299999999999       0.0008632046236103
  40       0.0000000000000000       0.3026300000000000       0.0015258549516036       0.2763099999999999       0.0011617467691178
