tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.6000000000000001,.0532226562499997,.0244229042149294,1.1612298716582417,.0021121554103380
2,3.2000000000000002,.0532226562499997,.0244229042149294,1.1817609278720866,.0035851290507203
3,2.7999999999999998,.0532226562499997,.0244229042149294,1.2077029433083444,.0033667805653207
4,2.3999999999999999,.0532226562499997,.0244229042149294,1.2376303959944823,.0042399721480078
5,2.0000000000000000,.0532226562499997,.0244229042149294,1.2905423111299161,.0028539252745230
6,1.6000000000000001,.0532226562499997,.0244229042149294,1.3612079858644581,.0037778660884819
7,1.2000000000000002,.0532226562499997,.0244229042149294,1.4852671872172905,.0086216261331428
8,.7999999999999998,.0532226562499997,.0244229042149294,1.7293510493021493,.0096861211968583
9,.3999999999999999,.0532226562499997,.0244229042149294,2.3825077575709201,.0160728980789130
10,.0000000000000000,.0532226562499997,.0244229042149294,9.5600036700586948,.1508976929175139
