tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2837600000000000,0.0148662047760834,1.4042399999999999,0.0031659367579842
1,3.6000000000000001,3.2118000000000002,0.0173753657035854,1.3885999999999998,0.0036065680824481
2,3.2000000000000002,3.1677400000000002,0.0143788672092840,1.3785599999999998,0.0035146107734553
3,2.7999999999999998,3.0782400000000001,0.0194806468065104,1.3559399999999999,0.0043702834894063
4,2.3999999999999999,2.9446300000000001,0.0147862552542710,1.3273900000000001,0.0045834109084343
5,2.0000000000000000,2.7835800485192932,0.0131679320833647,1.2875400121261475,0.0036868368522810
6,1.6000000000000001,2.5047701259982924,0.0076364151754889,1.2159100314748066,0.0025044939247600
7,1.2000000000000002,2.2250560688379579,0.0094522221930554,1.1388977889961753,0.0031236482176015
8,0.7999999999999998,1.8158700048841765,0.0095402420849264,1.0170100012210068,0.0030489138178567
9,0.3999999999999999,1.3770600000034805,0.0075384820173192,0.8684600058995710,0.0033621833403257
10,0.0000000000000000,1.0419600000058549,0.0026668833246636,0.7326000076516770,0.0015572045460740
