tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.3139599999999994,0.0180428760949515,1.4132799999999999,0.0040525931341688
1,3.6000000000000001,3.2243899999999996,0.0142043064674843,1.3905500000000004,0.0033474783212310
2,3.2000000000000002,3.1210499999999999,0.0123360740198099,1.3668700000000003,0.0033144481692534
3,2.7999999999999998,3.0167400000000000,0.0133360763845040,1.3419000000000001,0.0039668627402520
4,2.3999999999999999,2.8787499999999993,0.0089280612552656,1.3104299999999998,0.0029168114249791
5,2.0000000000000000,2.7009900000000000,0.0097121967992143,1.2620100000000001,0.0027159794631853
6,1.6000000000000001,2.4520700000000000,0.0120597130056142,1.2021700000000002,0.0031796942550435
7,1.2000000000000002,2.1220099999999995,0.0072512903066359,1.1062099999999999,0.0021986586820149
8,0.7999999999999998,1.7002000017855488,0.0050824539676099,0.9785600008927344,0.0022793859448711
9,0.3999999999999999,1.2856200070558323,0.0070960711140557,0.8317202656281637,0.0031820236638829
10,0.0000000000000000,0.9855100033320682,0.0044300861947841,0.7067901825395351,0.0020645002507812
