tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7333333333333334,.0499890625000000,.0007037325155119,.8354837757374260,.0002522641085056
2,3.4666666666666668,.0495921875000000,.0007180494321347,.8235445118794805,.0002650211628512
3,3.2000000000000002,.0482906250000000,.0006920861514996,.8099849028564731,.0002813057739017
4,2.9333333333333336,.0482390625000000,.0006847280612186,.7934000105754663,.0003076096342869
5,2.6666666666666670,.0460281250000000,.0006685216635102,.7742364331262975,.0003334459980152
6,2.3999999999999999,.0458843750000000,.0006581511649644,.7509638187231702,.0003591322430215
7,2.1333333333333333,.0422937500000000,.0006162906751391,.7237050030630426,.0003930985671516
8,1.8666666666666667,.0400234375000000,.0005800642296230,.6888470390277617,.0004278675886698
9,1.6000000000000001,.0379218750000000,.0005474795477654,.6467899482614101,.0004676712620923
10,1.3333333333333335,.0339469209164600,.0004978130271195,.5926843908546624,.0005071660066165
11,1.0666666666666669,.0300828125000000,.0004348719762514,.5266454596511738,.0005402384720910
12,.7999999999999998,.0240296875000000,.0003503648487815,.4434296038015809,.0005640706779301
13,.5333333333333332,.0195484375000000,.0002901455053780,.3474275438128875,.0005612817660369
14,.2666666666666666,.0147453125000000,.0002191584937403,.2457706423843900,.0005157169483034
15,.0000000000000000,.0121140625000000,.0001873667303312,.1518109375000000,.0004570530933424
