tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2639300000000007,0.0139257160198919,1.4010300000000000,0.0040442290846202
1,3.6000000000000001,3.2597800000000006,0.0162786281158250,1.3999000000000001,0.0043388938682572
2,3.2000000000000002,3.2550799999999995,0.0156535320827813,1.3986600000000000,0.0035430119013816
3,2.7999999999999998,3.2485399999999998,0.0162069340441403,1.3976200000000003,0.0041275981716571
4,2.3999999999999999,3.2401200000000001,0.0108561687532941,1.3942600000000001,0.0028478139764464
5,2.0000000000000000,3.2087300000000001,0.0159956872659821,1.3875300000000004,0.0045756614579509
6,1.6000000000000001,3.1688799999999997,0.0158594577460895,1.3769600000000000,0.0045386537406788
7,1.2000000000000002,3.0946500000000001,0.0102443399006479,1.3615500000000003,0.0033720831016516
8,0.7999999999999998,2.9459299999999997,0.0085993029433267,1.3237700000000001,0.0028115654002708
9,0.3999999999999999,2.4702000000000002,0.0084869442216982,1.1892000000000000,0.0020124611797498
10,0.0000000000000000,0.7986900000000000,0.0039311137805406,0.4896100000000002,0.0009210440935277
