tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7999999999999998,.0508093750000001,.0007143015643416,.0180135974308340,.0000097971089528
2,3.6000000000000001,.0505671875000001,.0007163881783851,.0181492441794536,.0000102771821125
3,3.3999999999999999,.0503937500000001,.0007227913695045,.0183131274267856,.0000108270786493
4,3.2000000000000002,.0504750000000001,.0007265386076010,.0184838109379716,.0000111983534387
5,3.0000000000000000,.0506687500000001,.0007247305452926,.0186726070446635,.0000118340480266
6,2.7999999999999998,.0506562500000001,.0007219894916835,.0189149578158055,.0000126592330052
7,2.6000000000000001,.0499500000000001,.0007099759021109,.0191764091725674,.0000134983179755
8,2.3999999999999999,.0497625000000001,.0007099927395537,.0194917850615051,.0000143803565371
9,2.2000000000000002,.0492812500000001,.0007112714908403,.0198772696210474,.0000154853520325
10,2.0000000000000000,.0488921875000001,.0007024763406451,.0203397022210941,.0000171190413704
11,1.7999999999999998,.0482906250000001,.0006987221763093,.0208932165226319,.0000188445167734
12,1.6000000000000001,.0475765625000001,.0006918019576400,.0216062154606394,.0000213373658709
13,1.3999999999999999,.0471421875000001,.0006851046717155,.0225532588143146,.0000242080435099
14,1.2000000000000002,.0463125000000001,.0006759645809408,.0237776627229586,.0000283679318693
15,1.0000000000000000,.0449703125000001,.0006426479497246,.0256310335865408,.0000350373604252
16,.7999999999999998,.0431734375000001,.0006282104044373,.0283815163935798,.0000463146741407
17,.6000000000000001,.0388593750000001,.0005657532234282,.0331607091269802,.0000660849545448
18,.3999999999999999,.0321015625000000,.0004983014803797,.0419088594776523,.0001072290642891
19,.2000000000000002,.0203156250000000,.0003790107248633,.0622738080828339,.0002017864461852
20,.0000000000000000,.0057703125000000,.0001869693464853,.1586464059959634,.0006378560323325
