tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0509266113281251,.0007253625400869,.8448505791882369,.0000296042109561
1,3.7812500000000000,.0508798583984376,.0007147189361973,.8372610316137988,.0000310623955117
2,3.5625000000000000,.0500213378906249,.0007280791104876,.8278325584896921,.0000329539854367
3,3.3437500000000000,.0498110839843751,.0007124418317805,.8171308800676669,.0000342787998418
4,3.1250000000000000,.0487981689453125,.0006741688377238,.8049124651426263,.0000366946818788
5,2.9062500000000000,.0478162109375000,.0006855629120426,.7909128168303127,.0000389069387452
6,2.6875000000000000,.0464133789062500,.0006503471585561,.7749096205144816,.0000413244483810
7,2.4687500000000000,.0457166015625000,.0006559765936381,.7563301483461813,.0000444644228397
8,2.2500000000000000,.0438339843750000,.0006215590786410,.7347541325084042,.0000476892935620
9,2.0312500000000000,.0422457763671875,.0005946223617451,.7092268396829967,.0000516672878951
10,1.8125000000000000,.0399545410156250,.0005724058333572,.6787284371707351,.0000550104179850
11,1.5937500000000000,.0374256591796875,.0005383338829047,.6422058864340850,.0000589793966661
12,1.3750000000000000,.0332395263671875,.0004763227550150,.5981373745350258,.0000631497319666
13,1.1562500000000000,.0302900146484375,.0004234021367760,.5446362367715646,.0000661865580816
14,.9375000000000000,.0267203613281250,.0003829434124617,.4802726805653006,.0000707831603362
15,.7187500000000000,.0216659912109375,.0003035301824320,.4052045996551824,.0000708363020927
16,.5000000000000000,.0172881835937500,.0002505651491055,.3220597072419338,.0000686834693709
