tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0522856445312501,.0007520554681998,.8449821326763080,.0000290360989073
1,3.8666666666666667,.0513980957031250,.0007342771267901,.8403615802924074,.0000300013358027
2,3.7333333333333334,.0495336914062500,.0006990060758053,.8348843090665631,.0000308488517700
3,3.6000000000000001,.0502716552734375,.0007148064265591,.8289515099633054,.0000318150915706
4,3.4666666666666668,.0496907226562500,.0006997790658296,.8224944861131930,.0000332050798539
5,3.3333333333333335,.0489250244140625,.0006826744511722,.8155855679390863,.0000341829920924
6,3.2000000000000002,.0491110595703125,.0006953970856741,.8081563929103918,.0000356025861638
7,3.0666666666666664,.0487889648437500,.0006872625992375,.8000035153936524,.0000365381880699
8,2.9333333333333336,.0474974853515625,.0006690189283527,.7913369081444289,.0000381265437940
9,2.7999999999999998,.0456926513671875,.0006498505298242,.7817340143126720,.0000398713063916
10,2.6666666666666670,.0453901367187500,.0006470125127817,.7712734544132094,.0000407378127869
11,2.5333333333333332,.0448557617187500,.0006350154781242,.7599108295009572,.0000426615688552
12,2.3999999999999999,.0437826904296875,.0006174779059551,.7472466021318391,.0000442146543627
13,2.2666666666666666,.0427445800781250,.0006109943679545,.7333258743248510,.0000472691149766
14,2.1333333333333333,.0414638183593750,.0005749850743753,.7179630829689859,.0000480951593466
15,2.0000000000000000,.0405837646484375,.0005643424638613,.7006064850073220,.0000506939486389
