tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0518418701171914,.0007252834077622,.4800141529121282,.0000160352712866
1,3.8333333333333335,.0501313720703150,.0007195274240426,.4788331952242599,.0000165823363229
2,3.6666666666666665,.0502245117187512,.0007191857577072,.4772695960370062,.0000176160310024
3,3.5000000000000000,.0501784423828134,.0007041991552986,.4753257671308714,.0000180061525124
4,3.3333333333333335,.0503778076171878,.0006943992950931,.4730701572152241,.0000190693078521
5,3.1666666666666665,.0496566162109376,.0007054286522808,.4704749956898313,.0000202169666851
6,3.0000000000000000,.0466452880859375,.0006524727051522,.4674423980624546,.0000211393744629
7,2.8333333333333330,.0482559814453126,.0006886455321471,.4639695700057884,.0000221449460986
8,2.6666666666666670,.0469635986328125,.0006637601943817,.4598744444445008,.0000233774329785
9,2.5000000000000000,.0456643066406250,.0006444154578263,.4551297688031663,.0000249332631655
10,2.3333333333333330,.0448633056640625,.0006236659126327,.4494951793079233,.0000266008784864
11,2.1666666666666670,.0421983642578125,.0005866963279319,.4428532100074108,.0000284130477183
12,2.0000000000000000,.0420158203125000,.0005869092312104,.4348989516545753,.0000305753846732
