tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0508079589843758,.0007235894790235,.4800216570630850,.0000158034420722
1,3.8333333333333335,.0507220458984380,.0007241817416491,.4789621921798753,.0000165074975611
2,3.6666666666666665,.0511304931640627,.0007224875393591,.4773726033872595,.0000171089389767
3,3.5000000000000000,.0495883789062500,.0007187978832004,.4754180895879098,.0000180472306504
4,3.3333333333333335,.0484412841796876,.0006952649803430,.4731183519234920,.0000187619595266
5,3.1666666666666665,.0500116210937500,.0007078591086845,.4705020121464197,.0000196250558619
6,3.0000000000000000,.0482425781250000,.0006910179198301,.4674535924110053,.0000208437812280
7,2.8333333333333330,.0470561035156250,.0006643992633216,.4639421742868201,.0000219581930321
8,2.6666666666666670,.0474216796875000,.0006715105517605,.4598626221074858,.0000233705757845
9,2.5000000000000000,.0445502685546875,.0006281313850591,.4550936438377677,.0000245073719986
