tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0513197998046925,.0007390464984550,1.1422255509977453,.0000745841313167
1,3.8333333333333335,.0521416748046928,.0007271175761648,1.1486126899392644,.0000762401545910
2,3.6666666666666665,.0510705322265686,.0007304932255686,1.1556077545545476,.0000795581110524
3,3.5000000000000000,.0501395507812551,.0007008053764900,1.1637472268685660,.0000823016507527
4,3.3333333333333335,.0498853271484417,.0007148544454242,1.1726176971327860,.0000851916511958
5,3.1666666666666665,.0495305664062545,.0007103283015402,1.1827476401259005,.0000889287203369
6,3.0000000000000000,.0476726318359419,.0006803260784354,1.1942070152549227,.0000940650818959
7,2.8333333333333330,.0482082031250051,.0006762734826723,1.2071520283193307,.0000983931710169
8,2.6666666666666670,.0483556884765667,.0006875439038426,1.2218392822802839,.0001050634524433
9,2.5000000000000000,.0472479248046919,.0006618473840791,1.2389016108423838,.0001121243804796
