tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7333333333333334,.0504402832031250,.0007100931780539,.4782919604452741,.0000168364344464
2,3.4666666666666668,.0502515625000000,.0007110028303474,.4755481765527445,.0000179696338556
3,3.2000000000000002,.0489106201171875,.0007079253461055,.4718483368954782,.0000191902350354
4,2.9333333333333336,.0468693115234375,.0006740951627972,.4672532313721174,.0000212826971002
5,2.6666666666666670,.0464478515625000,.0006497413562363,.4613965564346461,.0000228661483960
6,2.3999999999999999,.0447422119140625,.0006275000214163,.4538164012040837,.0000249074930291
7,2.1333333333333333,.0426461914062500,.0006096511865156,.4440000545958294,.0000278833150576
8,1.8666666666666667,.0394587158203125,.0005574644273998,.4309373218514858,.0000308971552805
9,1.6000000000000001,.0378255126953125,.0005486783131838,.4135058684473848,.0000348056417727
10,1.3333333333333335,.0335047363281250,.0004790499035832,.3897848803290481,.0000389674707013
11,1.0666666666666669,.0296255615234375,.0004091398262878,.3573850988099427,.0000431101471692
12,.7999999999999998,.0245542236328125,.0003574870281488,.3143299415466740,.0000477562893733
13,.5333333333333332,.0185452636718750,.0002640464555103,.2609624798103540,.0000509057048125
14,.2666666666666666,.0144181152343750,.0002023236558497,.2033734401837203,.0000533181878832
15,.0000000000000000,.0113235351562500,.0001598935090969,.1576714599609375,.0000569485277894
