tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7999999999999998,.0512895751953125,.0007330409419050,.8380472906772822,.0000301104002176
2,3.6000000000000001,.0490774169921875,.0007052187451326,.8294280126715065,.0000313513237882
3,3.3999999999999999,.0501505615234375,.0007080137131072,.8197629432399214,.0000332762366185
4,3.2000000000000002,.0494479736328125,.0006970024653769,.8088778252615288,.0000349351598612
5,3.0000000000000000,.0483436523437500,.0006814038636904,.7967429374978283,.0000370035578922
6,2.7999999999999998,.0464640380859375,.0006656489452698,.7829391755819646,.0000394262180463
7,2.6000000000000001,.0453620849609375,.0006379881744751,.7671778682982414,.0000413217874024
8,2.3999999999999999,.0441469726562500,.0006167169364100,.7491112995073882,.0000443814202685
9,2.2000000000000002,.0431782714843750,.0006060556140484,.7281976353056306,.0000474555512827
10,2.0000000000000000,.0406719970703125,.0005805120873973,.7038123420038582,.0000507469209687
11,1.7999999999999998,.0389187988281250,.0005546263959127,.6750897030838864,.0000542174107175
12,1.6000000000000001,.0362620117187500,.0005150334465318,.6409929352376240,.0000569302723307
13,1.3999999999999999,.0335187744140625,.0004840193284770,.6004578405355820,.0000614179294152
14,1.2000000000000002,.0303593505859375,.0004318991546108,.5517242448423376,.0000651547806627
15,1.0000000000000000,.0258291503906250,.0003576455492637,.4944408744359396,.0000674034627070
16,.7999999999999998,.0212006835937500,.0002966513482441,.4276460569225459,.0000688007796637
17,.6000000000000001,.0164198730468750,.0002354541864804,.3531964642944342,.0000676026028370
18,.3999999999999999,.0128551025390625,.0001841910093852,.2752395622926441,.0000644784733821
19,.2000000000000002,.0102293212890625,.0001464983071986,.1998813550678565,.0000600508580689
20,.0000000000000000,.0086457275390625,.0001216918906368,.1319967773437500,.0000533080850210
