tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.6000000000000001,.0501350151925300,.0007186417135102,.8303324330993853,.0000323276080075
2,3.2000000000000002,.0494338516053408,.0006777069850298,.8108810259851219,.0000355314149884
3,2.7999999999999998,.0475265583206416,.0006663516009395,.7859192392174117,.0000399426931113
4,2.3999999999999999,.0450532589974551,.0006359362425792,.7539091172606174,.0000439457460640
5,2.0000000000000000,.0424160625094787,.0005932473311752,.7115358778543045,.0000513369190447
6,1.6000000000000001,.0388512785905920,.0005435805915827,.6539677246216884,.0000580013405553
7,1.2000000000000002,.0327405146946983,.0004612987845290,.5744275834540929,.0000661442865201
8,.7999999999999998,.0260629130331536,.0003772165186302,.4648875659363995,.0000710098845229
9,.3999999999999999,.0194521159089005,.0002787481720627,.3259297315804765,.0000696710627849
10,.0000000000000000,.0153492095919189,.0002188866932092,.1805845214843750,.0000610814594494
