tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.8666666666666667,.0507334472656250,.0007352049191766,.4790817089663587,.0000164157415111
2,3.7333333333333334,.0507974365234375,.0007158726600385,.4778501625089633,.0000170027327344
3,3.6000000000000001,.0495820312500000,.0007018716870524,.4763472643050028,.0000175644014875
4,3.4666666666666668,.0499678068471706,.0007194538738211,.4746983651191248,.0000182752077725
5,3.3333333333333335,.0499036643417106,.0006889058976664,.4728240448318804,.0000191728695462
6,3.2000000000000002,.0493771250028079,.0006923372021097,.4706941891965487,.0000198895095362
7,3.0666666666666664,.0480167270217864,.0006834505822370,.4683727109686768,.0000206592631143
8,2.9333333333333336,.0477483526346598,.0006707897756819,.4657318560165006,.0000214542359020
9,2.7999999999999998,.0461227298905280,.0006548099393759,.4627398078927249,.0000223413691597
10,2.6666666666666670,.0456307701089114,.0006411540770711,.4593263193611677,.0000237173428466
11,2.5333333333333332,.0450255615234375,.0006439373683099,.4555382345820764,.0000245448399802
12,2.3999999999999999,.0442781494140625,.0006385876500966,.4511550961463421,.0000254387159693
13,2.2666666666666666,.0444866943359375,.0006325522913714,.4460916066667042,.0000271717231694
14,2.1333333333333333,.0426426273464969,.0005974681239897,.4403108025169083,.0000289705973563
15,2.0000000000000000,.0409073496178048,.0005725476275646,.4335926817568633,.0000304376068696
