tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7999999999999998,.0506040527343749,.0007129861231507,1.1499938163704801,.0000761835338114
2,3.6000000000000001,.0506091796874999,.0007135211919018,1.1584992628907109,.0000790940034689
3,3.3999999999999999,.0506304687499999,.0007135349787169,1.1679585412326490,.0000839898735917
4,3.2000000000000002,.0506429443359374,.0007138283453037,1.1787473688176948,.0000872599594093
5,3.0000000000000000,.0506957519531249,.0007149282618994,1.1908794651686510,.0000905258674406
6,2.7999999999999998,.0507282958984374,.0007156355837992,1.2047986291118027,.0000963580526975
7,2.6000000000000001,.0507725830078124,.0007157269285354,1.2210548777978694,.0001017672349940
8,2.3999999999999999,.0508239746093749,.0007156919153042,1.2398985211146727,.0001091330697185
9,2.2000000000000002,.0508002685546874,.0007151107798876,1.2621839543070859,.0001176279204189
10,2.0000000000000000,.0507511718749999,.0007145237938627,1.2886868030683329,.0001276207339420
