  TQ                     Temp           susceptibility                    error
   1       4.0000000000000000       3.2925900000000001       0.0144101682323580
   2       3.7894736842105265       3.2244800000000002       0.0140909203519019
   3       3.5789473684210527       3.1756399999999978       0.0157553295135585
   4       3.3684210526315788       3.1510800000000008       0.0137042769995656
   5       3.1578947368421053       3.1151300000000011       0.0126076989065087
   6       2.9473684210526319       3.0263900000000024       0.0142623676261355
   7       2.7368421052631580       2.9562599999999990       0.0132776611972397
   8       2.5263157894736841       2.9022699999999992       0.0119776884753331
   9       2.3157894736842106       2.7761800000000005       0.0119374749880746
  10       2.1052631578947372       2.6738600000000003       0.0108286098793515
  11       1.8947368421052633       2.5353199999999991       0.0125629476049710
  12       1.6842105263157894       2.3843399999999986       0.0106876235417278
  13       1.4736842105263159       2.1984600000000007       0.0097293518216112
  14       1.2631578947368420       1.9589700000000001       0.0106052727023358
  15       1.0526315789473686       1.7126500000000018       0.0095320445727752
  16       0.8421052631578947       1.4223700000000001       0.0065214898062430
  17       0.6315789473684212       1.1162599999999998       0.0047483675025628
  18       0.4210526315789473       0.8526499999999999       0.0041788639652907
  19       0.2105263157894739       0.6626000000000006       0.0029373938837484
  20       0.0000000000000000       0.5503000000000001       0.0024188026088554
